SKU,TotalDemand,AvgDemand,DemandStd,AnnualRevenue,AvgUnitPrice,LeadTime,OrderingCost,HoldingCost,CurrentStock,EOQ,SafetyStock,ReorderPoint,CumulativeRevenue,ABC_Class,CV,XYZ_Class,ABC_XYZ,DaysSinceSale,TurnoverRatio,DeadStockScore
85123A,22782,5.990533789113858,3.5062002350809776,66919.40000000001,2.9475256376544836,13,341,14,350,1053.4746589941578,20.85894480388679,98.73588406236694,0.0077179491590552264,A,0.5852901191297057,Y,AY,203,65.09142857142857,65.87257142857143
85099B,24155,9.033283470456245,5.676002007755325,48247.8,2.001974569932685,9,146,27,182,511.10845409937394,28.096209938388856,109.39576117249506,0.013282465090702323,A,0.6283431740317839,Y,AY,96,132.71978021978023,6.684065934065941
22423,3494,1.722879684418146,0.7493652576777258,44534.26,12.78180966469428,5,272,31,369,247.6167694566122,2.7647922326376677,11.379190654728397,0.018418690976112935,A,0.43494926805106693,X,AX,223,9.468834688346883,95.65934959349593
84879,26243,12.082412523020258,6.1594896567856425,44302.67,1.688232044198895,2,367,11,178,1323.3003507072074,14.372875786373042,38.537700832413556,0.02352820712046571,A,0.5097897166687656,Y,AY,237,147.43258426966293,53.87022471910113
20725,19743,8.319848293299621,5.3113926341314865,32585.55,1.6575853350189633,1,192,13,205,763.6608187892358,8.763797846316953,17.083646139616576,0.0272863642201984,A,0.6384001783312575,Y,AY,117,96.30731707317074,21.807804878048785
47566,6479,4.108433734939759,2.032174236249306,31450.690000000002,4.85141407736208,3,144,28,338,258.1494583708106,5.8077178945768555,18.13301909939613,0.03091363563083876,A,0.494634784776224,X,AX,192,19.168639053254438,79.44940828402369
21754,4820,2.8656361474435195,1.51957948590819,28812.460000000003,5.986956004756243,5,159,34,319,212.32328292155864,5.606506995713079,19.934687732930676,0.03423663466291784,A,0.5302764928003268,Y,AY,276,15.109717868338558,116.06708463949845
22457,9012,5.8748370273794,3.1963335883266115,26676.760000000006,2.9677314211212518,6,265,15,141,564.2907052220513,12.918487459546983,48.167509623823385,0.03731331911329124,A,0.5440718735567046,Y,AY,106,63.91489361702128,27.725531914893622
22386,13026,8.286259541984732,5.552204831319593,25966.36,1.9989185750636134,6,57,36,56,203.09849827115906,22.440113493845104,72.15767074575349,0.04030807170111667,A,0.6700495927248888,Y,AY,4,232.60714285714286,-57.38214285714286
82494L,8727,5.397031539888682,3.1492480785132604,25411.420000000002,2.933203463203464,5,294,43,496,345.45137307990353,11.619189089584303,38.604346789027716,0.04323882194124733,A,0.5835148553862659,Y,AY,18,17.594758064516128,14.821572580645164
22139,5063,3.119531731361676,1.5567384341872763,25110.210000000003,4.963530499075786,2,420,19,214,473.1150967120391,3.632575001046918,9.871638463770271,0.04613483302552483,A,0.49902952373808995,X,AX,307,23.6588785046729,121.40233644859813
22383,14665,7.698162729658793,5.342248938743413,24193.65,1.6533805774278216,4,348,44,22,481.63641511376227,17.62942149785326,48.42207241648843,0.04892513539930548,A,0.693964147855861,Y,AY,20,666.5909090909091,-178.77727272727273
22138,4850,3.065739570164349,1.4761787782619122,24034.940000000002,4.960056890012642,6,445,41,175,324.46954834757304,5.966209880180149,24.360647301166242,0.05169713342918834,A,0.4815082117959475,X,AX,122,27.714285714285715,52.785714285714285
21931,11922,7.622762148337596,5.608091544025212,23749.87,1.996074168797954,6,361,29,478,544.8088560726344,22.66598847757007,68.40256136759565,0.05443625376191952,A,0.7357033362569562,Y,AY,137,24.94142259414226,56.017573221757324
